text,selected_text,sentiment,label
respond go,respond go,neutral,0
sooo sad miss san diego,sooo sad,negative,-1
boss bulli,bulli,negative,-1
interview leav alon,leav alon,negative,-1
son put releas alreadi bought,son,negative,-1
shameless plug best ranger forum earth,shameless plug best ranger forum earth,neutral,0
feed babi fun smile coo,fun,positive,1
soooo high,soooo high,neutral,0
journey wow u becam cooler hehe possibl,wow u becam cooler,positive,1
much love hope reckon chanc minim p never gon na get cake stuff,much love hope reckon chanc minim p never gon na get cake stuff,neutral,0
realli realli like song love stori taylor swift,like,positive,1
sharpi run danger low ink,danger,negative,-1
want go music tonight lost voic,lost,negative,-1
test test lg env,test test lg env,neutral,0
uh oh sunburn,uh oh sunburn,negative,-1
ok tri plot altern speak sigh,sigh,negative,-1
sick past day thu hair look wierd didnt hat would look,sick,negative,-1
back home gon na miss everi one,onna,negative,-1
he,he,neutral,0
oh marli sorri hope find soon,oh marli sorri hope find soon,neutral,0
play ghost onlin realli interest new updat kirin pet metamorph third job wait dragon pet,interest,positive,1
clean hous famili com later today,clean hous famili com later today,neutral,0
got ta restart comput thought win suppos put end constant rebooti,got ta restart comput thought win suppos put end constant rebooti,neutral,0
see wat mean bout foll w friiday call lose f llower friday smh,see wat mean bout foll w friiday call lose f llower friday smh,neutral,0
free fillin app ipod fun im addict,free fillin app ipod fun im addict,positive,1
sorri,sorri,negative,-1
way malaysia internet access twit,internet,negative,-1
juss came backk berkeleyi omg madd fun havent minut whassqoodd,fun,positive,1
went sleep power cut noida power back work,power back work,negative,-1
go home seen new twitter design quit heavenli,quit heavenli,positive,1
hope unni make audit fight dahy unni,hope,positive,1
consol got bmi test hahaha say obes well much unhappi minut,well much unhappi minut,negative,-1
funni cute kid,funni,positive,1
ahhh slept game gon na tri best watch tomorrow though hope play armi,ahhh slept game gon na tri best watch tomorrow though hope play armi,neutral,0
that end tear fear vs eric prydz dj hero,that end tear fear,neutral,0
born rais nyc live texa past year still miss ny,miss,negative,-1
case wonder realli busi today come ad ton new blog updat stay tune,case wonder realli busi today come ad ton new blog updat stay tune,neutral,0
soooooo sleeeeepi last day school today sniffl,soooooo sleeeeepi,negative,-1
littl happi wine jeje ok sm free time care jaja love day,littl happi fo,positive,1
car happi big big dent boot hope theyr go write cross finger wait,car happi big big dent boot hope theyr go write cross finger wait,neutral,0
im avid fan magazin love magazin,avid fan,positive,1
mayday,mayday,neutral,0
ratt rock nashvil tonit one thing suck encor like still fun show pearci hott bad boy look,ratt rock nashvil tonit one thing suck encor like still fun show pearci hott bad boy look,neutral,0
love avail pm dear would love help convert vid ï ½,love,positive,1
girl hair salon ask shall trim eyebrow old feel,girl hair salon ask shall trim eyebrow old feel,neutral,0
egh blah boooooooooooo dunno wan na go work hangov suckkkkkk im drunk mess,suckkkkkk,negative,-1
visit friendster facebook,visit friendster facebook,neutral,0
donbt like peel prawn also dont like go shop run money crawl round car look,dont like go,negative,-1
case got new one last week thrill mine,thrill mine,negative,-1
check connect tweepl hate twitter,check connect tweepl hate twitter,neutral,0
also bore school third freelesson freistund,also bore school third freelesson freistund,neutral,0
hm us guess,hm us guess,neutral,0
u dissappoint past day,u dissappoint past day,negative,-1
romanc zero funni,romanc zero funni,positive,1
rather earli run morn runner,rather earli run morn runner,neutral,0
