text,selected_text,sentiment
respond go,respond go,neutral
sooo sad miss san diego,sooo sad,negative
boss bulli,bulli,negative
interview leav alon,leav alon,negative
son put releas alreadi bought,son,negative
shameless plug best ranger forum earth,shameless plug best ranger forum earth,neutral
feed babi fun smile coo,fun,positive
soooo high,soooo high,neutral
journey wow u becam cooler hehe possibl,wow u becam cooler,positive
much love hope reckon chanc minim p never gon na get cake stuff,much love hope reckon chanc minim p never gon na get cake stuff,neutral
realli realli like song love stori taylor swift,like,positive
sharpi run danger low ink,danger,negative
want go music tonight lost voic,lost,negative
test test lg env,test test lg env,neutral
uh oh sunburn,uh oh sunburn,negative
ok tri plot altern speak sigh,sigh,negative
sick past day thu hair look wierd didnt hat would look,sick,negative
back home gon na miss everi one,onna,negative
he,he,neutral
oh marli sorri hope find soon,oh marli sorri hope find soon,neutral
play ghost onlin realli interest new updat kirin pet metamorph third job wait dragon pet,interest,positive
clean hous famili com later today,clean hous famili com later today,neutral
got ta restart comput thought win suppos put end constant rebooti,got ta restart comput thought win suppos put end constant rebooti,neutral
see wat mean bout foll w friiday call lose f llower friday smh,see wat mean bout foll w friiday call lose f llower friday smh,neutral
free fillin app ipod fun im addict,free fillin app ipod fun im addict,positive
sorri,sorri,negative
way malaysia internet access twit,internet,negative
juss came backk berkeleyi omg madd fun havent minut whassqoodd,fun,positive
went sleep power cut noida power back work,power back work,negative
go home seen new twitter design quit heavenli,quit heavenli,positive
hope unni make audit fight dahy unni,hope,positive
consol got bmi test hahaha say obes well much unhappi minut,well much unhappi minut,negative
funni cute kid,funni,positive
ahhh slept game gon na tri best watch tomorrow though hope play armi,ahhh slept game gon na tri best watch tomorrow though hope play armi,neutral
that end tear fear vs eric prydz dj hero,that end tear fear,neutral
born rais nyc live texa past year still miss ny,miss,negative
case wonder realli busi today come ad ton new blog updat stay tune,case wonder realli busi today come ad ton new blog updat stay tune,neutral
soooooo sleeeeepi last day school today sniffl,soooooo sleeeeepi,negative
littl happi wine jeje ok sm free time care jaja love day,littl happi fo,positive
car happi big big dent boot hope theyr go write cross finger wait,car happi big big dent boot hope theyr go write cross finger wait,neutral
im avid fan magazin love magazin,avid fan,positive
mayday,mayday,neutral
ratt rock nashvil tonit one thing suck encor like still fun show pearci hott bad boy look,ratt rock nashvil tonit one thing suck encor like still fun show pearci hott bad boy look,neutral
love avail pm dear would love help convert vid ï ½,love,positive
girl hair salon ask shall trim eyebrow old feel,girl hair salon ask shall trim eyebrow old feel,neutral
egh blah boooooooooooo dunno wan na go work hangov suckkkkkk im drunk mess,suckkkkkk,negative
visit friendster facebook,visit friendster facebook,neutral
donbt like peel prawn also dont like go shop run money crawl round car look,dont like go,negative
case got new one last week thrill mine,thrill mine,negative
check connect tweepl hate twitter,check connect tweepl hate twitter,neutral
also bore school third freelesson freistund,also bore school third freelesson freistund,neutral
hm us guess,hm us guess,neutral
u dissappoint past day,u dissappoint past day,negative
romanc zero funni,romanc zero funni,positive
rather earli run morn runner,rather earli run morn runner,neutral
bah cowork ran work late bag smack knee realli hurt,hurt,negative
back later,back later,neutral
aw torn ace heart hunchback,torn ace heart,negative
fun speak,fun speak,neutral
lost friend alon sleepi wan na go home,lost friend alon sleepi,negative
haha ye,haha ye,neutral
give easili,give easili,negative
better way spoil mum let kick back relax nice meal bottl favorit wine wine red,favorit,positive
mannnn _ got iphon im jealou,jealou,negative
photoshoot,photoshoot,neutral
awesom work good friend,awesom,positive
yay play show tonight boo gon na soggi work right play,yay play show tonight boo gon na soggi work right play,neutral
chilliin,chilliin,positive
know agent let know,know agent let know,neutral
still smell smoke kitchenfir,still smell smoke kitchenfir,neutral
celtic laker rematch sound better think lol,better,positive
anyon extra kean ticket promis buy drink take rad pic fb blog flickr etc,anyon extra kean ticket promis buy drink take rad pic fb blog flickr etc,neutral
ride one catch one summer til pop open one,ride one catch one summer til pop open one,neutral
good gor juz yea kno ask yesterday tha hospit talk u said,good gor juz yea kno ask yesterday tha hospit talk u said,neutral
ok pop say hi check thing probabl head guttah later tonight,ok pop say hi check thing probabl head guttah later tonight,neutral
wow realli missin fam ili today baddd,baddd,negative
sourc say,sourc say,neutral
sooo tire,sooo tire,negative
hey chang twitter account even tell,hey chang twitter account even tell,neutral
thank yyyyyyyyyoooooooooouuuuu,thank yyyyyyyyyoooooooooouuuuu,positive
lucki kid wan na see loservil piti im oz,lucki,positive
fell asleep wait ride,fell asleep wait ride,neutral
sick flu like thing,sick,negative
still repli simfing problem irap parodi video get respons sorri guy,sorri guy,negative
happi star war day everyon enjoy holiday uk,happi star war day everyon enjoy holiday uk,positive
mile essex give plenti warn arriv time get least one free beer,mile essex give plenti warn arriv time get least one free beer,neutral
snore annoy n keep sleep like right lol honestli wud miss eva left love,snore annoy n keep sleep like right lol honestli wud miss eva left love,neutral
miss bbi wish go tomorrow make good,miss bbi,negative
well im work quit readi post publicli still beta test cool new script code,cool,positive
sweeeeet san fran awesom love,love,positive
_mounc ye last way past bedtim,_mounc ye last way past bedtim,neutral
hi join twitter,hi join twitter,neutral
wait sleep pill kick gon na tire work tomorrow,tire,negative
eat ice cream get readi graduat,eat ice cream get readi graduat,neutral
happi mother day mum,happi mother day mum,positive
casey gone piddl littl carpet prolli freak caus new get back,freak,negative
hemp cloth marvel unfortun,unfortun,negative
gon na read stori bout adam lambert onlin bed nighti night,gon na read stori bout adam lambert onlin bed nighti night,neutral
saw none baddi best,best,positive
im beach pretti,pretti,positive
certainli cheer huh,certainli cheer huh,neutral
week post horribl traumat jump cholla accid cholla next dirti trick piec start emerg hand ouch,horribl,negative
reali want go caus nice everybodi busi,busi,negative
awesom ocean beach know way yourbiggestfan al big fan rs,awesom,positive
least get watch time let go pen,least get watch time let go pen,neutral
cool wear black time go,cool wear black time go,neutral
haha know work blip apart obviou thank reblip song nice day,thank,positive
safe trip joshi poo knock dead speech,safe,positive
woof wish allow go,wish allow go,positive
u friendster add email adress add loco_crime_ st com add leav comment,u friendster add email adress add loco_crime_ st com add,neutral
ticket,ticket,neutral
thank afrin nasal spray also got giant teacup tonight,thank,positive
acsm unfathom think one one kept comfort bedroom ye,acsm unfathom think one one kept comfort bedroom ye,neutral
aww love daddi work day week almost day still tri go sf us,love,positive
mani test todayyy feel confid anyy,feel confid,negative
graduat done im littl sad anyon want hang,sad,negative
hahaa awesome,hahaa awesome,positive
holi smoke star trek freak awesomeeee,awesomeeee,positive
hate fallout keep make jump also low health money ammo food worri get,hate fallout keep make jump also low health money ammo food worri get,neutral
itun lost song,itun lost song,neutral
gloomi weather sun must tire come play head victoria garden impuls buy haha,gloomi weather sun must tire come play head victoria garden impuls buy haha,neutral
look forward next week math geographi english french exam total hour,look forward,negative
poor get outsid sleep garden sun good forget suncream,poor,negative
well,well,negative
prob hun,prob,positive
dad watch mtv go sim minute,dad watch mtv go sim minute,neutral
absolut,absolut,neutral
matter chickade,matter chickade,neutral
hey mia total ador music cd,ador,positive
shop clean bmfing webcam chat nephew noth spesh good bank holiday monday nonetheless,good,positive
need ask someth lmao love,love,positive
splinter look pain heroic save mr pickl,pain,negative
sad,sad,negative
nice see tweet sunday th may celebr mother day today nice yer mom,e nice,positive
decid tran frm relax natur hair wish whole head look like root age instant gratif,wish,positive
namaskar namast r marathi peopl say namaskar marathi word naaaah,namaskar namast r marathi peopl say namaskar marathi word naaaah,neutral
congrat cuss like matter minut know reward,congrat cuss like matter minut know reward,neutral
humou dorito oh ye,humou dorito oh ye,neutral
miss awesom weather movi,miss awesom weather,negative
today go normal day hope group pilot larg airlin come last night much drink,today go normal day hope group pilot larg airlin come last night much drink,neutral
kid terribl good evan call childlin,terribl,negative
unfortunatley aerlingu longer fli copenhagen fli ryanair billund drive copenhagen one day,unfortunatley,negative
sad actual googl term suck tho,suck tho,negative
hate fight,hate fight,negative
watch didnt want win put good fight lol,watch didnt want win put good fight lol,neutral
car warm sprite tast like sore throat,car warm sprite tast like sore throat,negative
came th cross countri beat dumbo,came th cross countri beat dumbo,neutral
candl wax enjoy,enjoy,positive
unassum unpretenti suppos endear relat,endear,positive
tomorrow valeria lunch go get hair done im arrav late got cousin babtizm whatev spell,tomorrow valeria lunch go get hair done im arrav late got cousin babtizm whatev spell,neutral
goooooddd morn tweet week three workout mention got new glass yesterday,goooooddd morn tweet,positive
hate comput much,hate,negative
fine go big walk today mile,fine,positive
want red cruiser like one lmfao,like one,negative
mmmmmmmm morn,mmmmmmmm morn,neutral
neither,neither,neutral
hour work sunday boo find time two hour lunchbreak though yeah,hour work sunday boo find time two hour lunchbreak though yeah,neutral
bugger forgot still wash machin,bugger forgot still wash machin,negative
_lauri send love bless heal thought famili peac,send love bless heal thought famili peac,positive
back hurt realli bad,realli bad,negative
ah ye know feel,ah ye know feel,neutral
night cooker dad,night cooker dad,neutral
modem offlin week god bless g network tim left may schedul brutal,brutal,negative
nope coquitlam,nope coquitlam,neutral
parent teacher thing yesterday bore go skl saturday lol,bore,negative
lichfield tweetup sound like fun hope see everyon els,p sound like fun,positive
big boom thunder storm almost mayb go home earli ah probabl,big boom thunder storm almost mayb go home earli ah probabl,neutral
bevvi day twn great day,great,positive
first night myer w lydia actual excit summer,excit,positive
good morn,good morn,positive
best show ever,best show ever,positive
url previou post timer job remov space mess url es,mess,negative
